gene_id	gene_name	transcript_id	transcript_name	chrom_gtf	chrom_fasta	strand	tis_genomic_pos	window_start_1based	window_end_1based	bed_start_0based	bed_end	upstream	downstream	window_length
ENSG00000178395	CCDC185	ENST00000366875	CCDC185-201	1	1	+	223393476	223392976	223393975	223392975	223393975	500	500	1000
ENSG00000162621	LRRC53	ENST00000294635	LRRC53-201	1	1	-	74483349	74482850	74483849	74482849	74483849	500	500	1000
ENSG00000259030	FPGT-TNNI3K	ENST00000557284	FPGT-TNNI3K-206	1	1	+	74198279	74197779	74198778	74197778	74198778	500	500	1000
ENSG00000183598	H3C13	ENST00000331491	H3C13-201	1	1	-	149813681	149813182	149814181	149813181	149814181	500	500	1000
ENSG00000184260	H2AC20	ENST00000331380	H2AC20-201	1	1	+	149886975	149886475	149887474	149886474	149887474	500	500	1000
ENSG00000184270	H2AC21	ENST00000331128	H2AC21-201	1	1	-	149887916	149887417	149888416	149887416	149888416	500	500	1000
ENSG00000170128	GPR25	ENST00000304244	GPR25-201	1	1	+	200873038	200872538	200873537	200872537	200873537	500	500	1000
ENSG00000174529	TMEM81	ENST00000367167	TMEM81-201	1	1	-	205084320	205083821	205084820	205083820	205084820	500	500	1000
ENSG00000255835		ENST00000432920		1	1	-	225924110	225923611	225924610	225923610	225924610	500	500	1000
ENSG00000187862	TTC24	ENST00000368236	TTC24-201	1	1	+	156581365	156580865	156581864	156580864	156581864	500	500	1000
ENSG00000203663	OR2L2	ENST00000641771	OR2L2-202	1	1	+	248038268	248037768	248038767	248037767	248038767	500	500	1000
ENSG00000198128	OR2L3	ENST00000359959	OR2L3-201	1	1	+	248060682	248060182	248061181	248060181	248061181	500	500	1000
ENSG00000171180	OR2M4	ENST00000641868	OR2M4-201	1	1	+	248238929	248238429	248239428	248238428	248239428	500	500	1000
ENSG00000204505	PRAMEF9	ENST00000415919	PRAMEF9-201	1	1	+	13175281	13174781	13175780	13174780	13175780	500	500	1000
ENSG00000177151	OR2T35	ENST00000641268	OR2T35-201	1	1	-	248639258	248638759	248639758	248638758	248639758	500	500	1000
ENSG00000180708	OR10K2	ENST00000641042	OR10K2-201	1	1	-	158420866	158420367	158421366	158420366	158421366	500	500	1000
ENSG00000179023	KLHDC7A	ENST00000400664	KLHDC7A-201	1	1	+	18480982	18480482	18481481	18480481	18481481	500	500	1000
ENSG00000213171	LINGO4	ENST00000368820	LINGO4-201	1	1	-	151802704	151802205	151803204	151802204	151803204	500	500	1000
ENSG00000196407	THEM5	ENST00000368817	THEM5-201	1	1	-	151853565	151853066	151854065	151853065	151854065	500	500	1000
ENSG00000240386	LCE1F	ENST00000334371	LCE1F-201	1	1	+	152776372	152775872	152776871	152775871	152776871	500	500	1000
ENSG00000172155	LCE1D	ENST00000326233	LCE1D-201	1	1	+	152797795	152797295	152798294	152797294	152798294	500	500	1000
ENSG00000186603	HPDL	ENST00000334815	HPDL-201	1	1	+	45327149	45326649	45327648	45326648	45327648	500	500	1000
ENSG00000197454	OR2L5	ENST00000355281	OR2L5-201	1	1	+	248021948	248021448	248022447	248021447	248022447	500	500	1000
ENSG00000279111	OR10X1	ENST00000623167	OR10X1-201	1	1	-	158579899	158579400	158580399	158579399	158580399	500	500	1000
ENSG00000187701	OR2T27	ENST00000460972	OR2T27-201	1	1	-	248650884	248650385	248651384	248650384	248651384	500	500	1000
ENSG00000203757	OR6K3	ENST00000368145	OR6K3-201	1	1	-	158718115	158717616	158718615	158717615	158718615	500	500	1000
ENSG00000196772	OR14A16	ENST00000641093	OR14A16-201	1	1	-	247815729	247815230	247816229	247815229	247816229	500	500	1000
ENSG00000197591	OR11L1	ENST00000355784	OR11L1-201	1	1	-	247841896	247841397	247842396	247841396	247842396	500	500	1000
ENSG00000238243	OR2W3	ENST00000360358	OR2W3-201	1	1	+	247895587	247895087	247896086	247895086	247896086	500	500	1000
ENSG00000177275	OR2AJ1	ENST00000318244	OR2AJ1-201	1	1	+	247933769	247933269	247934268	247933268	247934268	500	500	1000
ENSG00000279263	OR2L8	ENST00000623922	OR2L8-201	1	1	+	247948858	247948358	247949357	247948357	247949357	500	500	1000
ENSG00000197532	OR6Y1	ENST00000641622	OR6Y1-202	1	1	-	158548105	158547606	158548605	158547605	158548605	500	500	1000
ENSG00000198104	OR2T6	ENST00000641644	OR2T6-201	1	1	+	248387609	248387109	248388108	248387108	248388108	500	500	1000
ENSG00000162727	OR2M5	ENST00000366476	OR2M5-201	1	1	+	248145148	248144648	248145647	248144647	248145647	500	500	1000
ENSG00000198601	OR2M2	ENST00000641836	OR2M2-202	1	1	+	248179986	248179486	248180485	248179485	248180485	500	500	1000
ENSG00000177462	OR2T8	ENST00000641945	OR2T8-201	1	1	+	247921018	247920518	247921517	247920517	247921517	500	500	1000
ENSG00000169214	OR6F1	ENST00000641470	OR6F1-203	1	1	-	247712755	247712256	247713255	247712255	247713255	500	500	1000
ENSG00000153230	OR14K1	ENST00000283225	OR14K1-201	1	1	+	247738615	247738115	247739114	247738114	247739114	500	500	1000
ENSG00000177201	OR2T12	ENST00000641276	OR2T12-201	1	1	-	248295578	248295079	248296078	248295078	248296078	500	500	1000
ENSG00000177212	OR2T33	ENST00000641220	OR2T33-202	1	1	-	248273814	248273315	248274314	248273314	248274314	500	500	1000
ENSG00000182783	OR2T29	ENST00000641069	OR2T29-202	1	1	-	248559491	248558992	248559991	248558991	248559991	500	500	1000
ENSG00000186092	OR4F5	ENST00000641515	OR4F5-201	1	1	+	65565	65065	66064	65064	66064	500	500	1000
ENSG00000188558	OR2G6	ENST00000641804	OR2G6-202	1	1	+	248521647	248521147	248522146	248521146	248522146	500	500	1000
ENSG00000197437	OR13G1	ENST00000642119	OR13G1-201	1	1	-	247673041	247672542	247673541	247672541	247673541	500	500	1000
ENSG00000221888	OR1C1	ENST00000641256	OR1C1-202	1	1	-	247758406	247757907	247758906	247757906	247758906	500	500	1000
ENSG00000228198	OR2M3	ENST00000641626	OR2M3-202	1	1	+	248203068	248202568	248203567	248202567	248203567	500	500	1000
ENSG00000184022	OR2T10	ENST00000642090	OR2T10-202	1	1	-	248593768	248593269	248594268	248593268	248594268	500	500	1000
ENSG00000197403	OR6N1	ENST00000641846	OR6N1-202	1	1	-	158766682	158766183	158767182	158766182	158767182	500	500	1000
ENSG00000279301	OR2T11	ENST00000641193	OR2T11-201	1	1	-	248627128	248626629	248627628	248626628	248627628	500	500	1000
ENSG00000198967	OR10Z1	ENST00000641002	OR10Z1-201	1	1	+	158606439	158605939	158606938	158605938	158606938	500	500	1000
ENSG00000163554	SPTA1	ENST00000643759	SPTA1-208	1	1	-	158686517	158686018	158687017	158686017	158687017	500	500	1000
ENSG00000162783	IER5	ENST00000367577	IER5-201	1	1	+	181088903	181088403	181089402	181088402	181089402	500	500	1000
ENSG00000196289	BECN2	ENST00000419583	BECN2-201	1	1	+	241957767	241957267	241958266	241957266	241958266	500	500	1000
ENSG00000120337	TNFSF18	ENST00000404377	TNFSF18-201	1	1	-	173050896	173050397	173051396	173050396	173051396	500	500	1000
ENSG00000212916	MAP10	ENST00000418460	MAP10-201	1	1	+	232805450	232804950	232805949	232804949	232805949	500	500	1000
ENSG00000196944	OR2T4	ENST00000366473	OR2T4-201	1	1	+	248361665	248361165	248362164	248361164	248362164	500	500	1000
ENSG00000172410	INSL5	ENST00000304526	INSL5-201	1	1	-	66801221	66800722	66801721	66800721	66801721	500	500	1000
ENSG00000186440	OR6P1	ENST00000641540	OR6P1-201	1	1	-	158563604	158563105	158564104	158563104	158564104	500	500	1000
ENSG00000197241	SLC2A7	ENST00000400906	SLC2A7-201	1	1	-	9026345	9025846	9026845	9025845	9026845	500	500	1000
ENSG00000196171	OR6K2	ENST00000359610	OR6K2-201	1	1	-	158700652	158700153	158701152	158700152	158701152	500	500	1000
ENSG00000187170	LCE4A	ENST00000368777	LCE4A-201	1	1	+	152709076	152708576	152709575	152708575	152709575	500	500	1000
ENSG00000169717	ACTRT2	ENST00000378404	ACTRT2-201	1	1	+	3021687	3021187	3022186	3021186	3022186	500	500	1000
ENSG00000219073	CELA3B	ENST00000337107	CELA3B-201	1	1	+	21977040	21976540	21977539	21976539	21977539	500	500	1000
ENSG00000142789	CELA3A	ENST00000290122	CELA3A-201	1	1	+	22001675	22001175	22002174	22001174	22002174	500	500	1000
ENSG00000197084	LCE1C	ENST00000607093	LCE1C-202	1	1	-	152805478	152804979	152805978	152804978	152805978	500	500	1000
ENSG00000273213	H3-7	ENST00000392948	H3-7-201	1	1	-	143905966	143905467	143906466	143905466	143906466	500	500	1000
ENSG00000186207	LCE5A	ENST00000334269	LCE5A-201	1	1	+	152511535	152511035	152512034	152511034	152512034	500	500	1000
ENSG00000169509	CRCT1	ENST00000368790	CRCT1-201	1	1	+	152515384	152514884	152515883	152514883	152515883	500	500	1000
ENSG00000185966	LCE3E	ENST00000368789	LCE3E-201	1	1	-	152566208	152565709	152566708	152565708	152566708	500	500	1000
ENSG00000163202	LCE3D	ENST00000368787	LCE3D-201	1	1	-	152579936	152579437	152580436	152579436	152580436	500	500	1000
ENSG00000184389	A3GALT2	ENST00000442999	A3GALT2-201	1	1	-	33321098	33320599	33321598	33320598	33321598	500	500	1000
ENSG00000232237	ASCL5	ENST00000449188	ASCL5-201	1	1	-	201115372	201114873	201115872	201114872	201115872	500	500	1000
ENSG00000274386	TMEM269	ENST00000637012	TMEM269-204	1	1	+	42789894	42789394	42790393	42789393	42790393	500	500	1000
ENSG00000196734	LCE1B	ENST00000360090	LCE1B-201	1	1	+	152812447	152811947	152812946	152811946	152812946	500	500	1000
ENSG00000186844	LCE1A	ENST00000335123	LCE1A-201	1	1	+	152827473	152826973	152827972	152826972	152827972	500	500	1000
ENSG00000235942	LCE6A	ENST00000431011	LCE6A-201	1	1	+	152843521	152843021	152844020	152843020	152844020	500	500	1000
ENSG00000184148	SPRR4	ENST00000328051	SPRR4-201	1	1	+	152971891	152971391	152972390	152971390	152972390	500	500	1000
ENSG00000196184	OR10J1	ENST00000423932	OR10J1-201	1	1	+	159439792	159439292	159440291	159439291	159440291	500	500	1000
ENSG00000163354	DCST2	ENST00000368424	DCST2-202	1	1	-	155033701	155033202	155034201	155033201	155034201	500	500	1000
ENSG00000280778		ENST00000625258		1	1	+	145977113	145976613	145977612	145976612	145977612	500	500	1000
ENSG00000182898	TCHHL1	ENST00000368806	TCHHL1-201	1	1	-	152088143	152087644	152088643	152087643	152088643	500	500	1000
ENSG00000215853	RPTN	ENST00000316073	RPTN-201	1	1	-	152157889	152157390	152158389	152157389	152158389	500	500	1000
ENSG00000197915	HRNR	ENST00000368801	HRNR-201	1	1	-	152223253	152222754	152223753	152222753	152223753	500	500	1000
ENSG00000175793	SFN	ENST00000339276	SFN-201	1	1	+	26863213	26862713	26863712	26862712	26863712	500	500	1000
ENSG00000188782	CATSPER4	ENST00000456354	CATSPER4-202	1	1	+	26190628	26190128	26191127	26190127	26191127	500	500	1000
ENSG00000168148	H3-4	ENST00000366696	H3-4-201	1	1	-	228425325	228424826	228425825	228424825	228425825	500	500	1000
ENSG00000188340	OR6N2	ENST00000641131	OR6N2-201	1	1	-	158777635	158777136	158778135	158777135	158778135	500	500	1000
ENSG00000203852	H3C15	ENST00000403683	H3C15-201	1	1	+	149852655	149852155	149853154	149852154	149853154	500	500	1000
ENSG00000270276	H4C15	ENST00000579512	H4C15-201	1	1	-	149861131	149860632	149861631	149860631	149861631	500	500	1000
ENSG00000288825	H2AC18	ENST00000369159	H2AC18-201	1	1	-	149842698	149842199	149843198	149842198	149843198	500	500	1000
ENSG00000184678	H2BC21	ENST00000369155	H2BC21-201	1	1	-	149886640	149886141	149887140	149886140	149887140	500	500	1000
ENSG00000270882	H4C14	ENST00000578186	H4C14-201	1	1	+	149832685	149832185	149833184	149832184	149833184	500	500	1000
ENSG00000203811	H3C14	ENST00000369158	H3C14-201	1	1	-	149841157	149840658	149841657	149840657	149841657	500	500	1000
ENSG00000175143	OR2T1	ENST00000642005	OR2T1-201	1	1	+	248406148	248405648	248406647	248405647	248406647	500	500	1000
ENSG00000187180	LCE2C	ENST00000368783	LCE2C-201	1	1	+	152676016	152675516	152676515	152675515	152676515	500	500	1000
ENSG00000196242	OR2C3	ENST00000641802	OR2C3-202	1	1	-	247532511	247532012	247533011	247532011	247533011	500	500	1000
ENSG00000244057	LCE3C	ENST00000684028	LCE3C-202	1	1	+	152600732	152600232	152601231	152600231	152601231	500	500	1000
ENSG00000179862	CITED4	ENST00000372638	CITED4-201	1	1	-	40862127	40861628	40862627	40861627	40862627	500	500	1000
ENSG00000278139	P3R3URF-PIK3R3	ENST00000540385	P3R3URF-PIK3R3-201	1	1	-	46176471	46175972	46176971	46175971	46176971	500	500	1000
ENSG00000263353	PPIAL4A	ENST00000577856	PPIAL4A-201	1	1	+	120889821	120889321	120890320	120889320	120890320	500	500	1000
ENSG00000288867	PPIAL4C	ENST00000585245	PPIAL4C-201	1	1	+	149583898	149583398	149584397	149583397	149584397	500	500	1000
ENSG00000289549	PPIAL4D	ENST00000544708	PPIAL4D-201	1	1	-	145242124	145241625	145242624	145241624	145242624	500	500	1000
ENSG00000271567	PPIAL4E	ENST00000581164	PPIAL4E-201	1	1	-	144373584	144373085	144374084	144373084	144374084	500	500	1000
ENSG00000279782	PPIAL4F	ENST00000581138	PPIAL4F-202	1	1	+	144592943	144592443	144593442	144592442	144593442	500	500	1000
ENSG00000236334	PPIAL4G	ENST00000419275	PPIAL4G-201	1	1	-	148483252	148482753	148483752	148482752	148483752	500	500	1000
ENSG00000270339	PPIAL4H	ENST00000584068	PPIAL4H-201	1	1	-	146344715	146344216	146345215	146344215	146345215	500	500	1000
ENSG00000163352	LENEP	ENST00000392487	LENEP-202	1	1	+	154993608	154993108	154994107	154993107	154994107	500	500	1000
ENSG00000173627	APOBEC4	ENST00000308641	APOBEC4-201	1	1	-	183648781	183648282	183649281	183648281	183649281	500	500	1000
ENSG00000204060	FOXO6	ENST00000641094	FOXO6-202	1	1	+	41361931	41361431	41362430	41361430	41362430	500	500	1000
ENSG00000267561		ENST00000370548		1	1	+	86993082	86992582	86993581	86992581	86993581	500	500	1000
ENSG00000181218	H2AC25	ENST00000689584	H2AC25-202	1	1	-	228457817	228457318	228458317	228457317	228458317	500	500	1000
ENSG00000196890	H2BC26	ENST00000693095	H2BC26-203	1	1	+	228458130	228457630	228458629	228457629	228458629	500	500	1000
ENSG00000225828	FAM229A	ENST00000432622	FAM229A-204	1	1	-	32362091	32361592	32362591	32361591	32362591	500	500	1000
ENSG00000159450	TCHH	ENST00000614923	TCHH-201	1	1	-	152114080	152113581	152114580	152113580	152114580	500	500	1000
ENSG00000203786	KPRP	ENST00000606109	KPRP-201	1	1	+	152759589	152759089	152760088	152759088	152760088	500	500	1000
ENSG00000143126	CELSR2	ENST00000271332	CELSR2-201	1	1	+	109250080	109249580	109250579	109249579	109250579	500	500	1000
ENSG00000215906	LACTBL1	ENST00000426928	LACTBL1-201	1	1	-	22972316	22971817	22972816	22971816	22972816	500	500	1000
ENSG00000289692		ENST00000695747		1	1	+	22637617	22637117	22638116	22637116	22638116	500	500	1000
ENSG00000289694		ENST00000695856		1	1	+	22078479	22077979	22078978	22077978	22078978	500	500	1000
ENSG00000289700		ENST00000696133		1	1	-	209801413	209800914	209801913	209800913	209801913	500	500	1000
ENSG00000171786	NHLH1	ENST00000302101	NHLH1-201	1	1	+	160370732	160370232	160371231	160370231	160371231	500	500	1000
ENSG00000177144	NUDT4B	ENST00000322209	NUDT4B-201	1	1	+	148748953	148748453	148749452	148748452	148749452	500	500	1000
ENSG00000289710		ENST00000696552		1	1	-	30576825	30576326	30577325	30576325	30577325	500	500	1000
ENSG00000162510	MATN1	ENST00000373765	MATN1-201	1	1	-	30723551	30723052	30724051	30723051	30724051	500	500	1000
ENSG00000198754	OXCT2	ENST00000327582	OXCT2-201	1	1	-	39771255	39770756	39771755	39770755	39771755	500	500	1000
ENSG00000163518	FCRL4	ENST00000271532	FCRL4-201	1	1	-	157597944	157597445	157598444	157597444	157598444	500	500	1000
ENSG00000254706		ENST00000420220		1	1	+	162381902	162381402	162382401	162381401	162382401	500	500	1000
ENSG00000233954	UQCRHL	ENST00000696689	UQCRHL-202	1	1	-	15807649	15807150	15808149	15807149	15808149	500	500	1000
ENSG00000289715		ENST00000696766		1	1	+	21547404	21546904	21547903	21546903	21547903	500	500	1000
ENSG00000289697		ENST00000696032		1	1	+	196652118	196651618	196652617	196651617	196652617	500	500	1000
ENSG00000116726	PRAMEF12	ENST00000357726	PRAMEF12-201	1	1	+	12774868	12774368	12775367	12774367	12775367	500	500	1000
ENSG00000116721	PRAMEF1	ENST00000332296	PRAMEF1-201	1	1	+	12793228	12792728	12793727	12792727	12793727	500	500	1000
ENSG00000239810	PRAMEF11	ENST00000619922	PRAMEF11-201	1	1	-	12828789	12828290	12829289	12828289	12829289	500	500	1000
ENSG00000179172	HNRNPCL1	ENST00000317869	HNRNPCL1-201	1	1	-	12848289	12847790	12848789	12847789	12848789	500	500	1000
ENSG00000120952	PRAMEF2	ENST00000240189	PRAMEF2-201	1	1	+	12859010	12858510	12859509	12858509	12859509	500	500	1000
ENSG00000243073	PRAMEF4	ENST00000235349	PRAMEF4-201	1	1	-	12883394	12882895	12883894	12882894	12883894	500	500	1000
ENSG00000232423	PRAMEF6	ENST00000376189	PRAMEF6-201	1	1	-	12942518	12942019	12943018	12942018	12943018	500	500	1000
ENSG00000237700	PRAMEF33	ENST00000437300	PRAMEF33-201	1	1	+	13305955	13305455	13306454	13305454	13306454	500	500	1000
ENSG00000204518	AADACL4	ENST00000376221	AADACL4-201	1	1	+	12644547	12644047	12645046	12644046	12645046	500	500	1000
ENSG00000270601	PRAMEF5	ENST00000622421	PRAMEF5-201	1	1	+	13259269	13258769	13259768	13258768	13259768	500	500	1000
ENSG00000182330	PRAMEF8	ENST00000357367	PRAMEF8-201	1	1	-	13284091	13283592	13284591	13283591	13284591	500	500	1000
ENSG00000204478	PRAMEF20	ENST00000602960	PRAMEF20-201	1	1	+	13416355	13415855	13416854	13415854	13416854	500	500	1000
ENSG00000184292	TACSTD2	ENST00000371225	TACSTD2-201	1	1	-	58577156	58576657	58577656	58576656	58577656	500	500	1000
ENSG00000204480	PRAMEF19	ENST00000376101	PRAMEF19-201	1	1	-	13371900	13371401	13372400	13371400	13372400	500	500	1000
ENSG00000177272	KCNA3	ENST00000369769	KCNA3-201	1	1	-	110674809	110674310	110675309	110674309	110675309	500	500	1000
ENSG00000215817	ZC3H11B	ENST00000651890	ZC3H11B-201	1	1	-	219612062	219611563	219612562	219611562	219612562	500	500	1000
ENSG00000187140	FOXD3	ENST00000371116	FOXD3-201	1	1	+	63323059	63322559	63323558	63322558	63323558	500	500	1000
ENSG00000203784	LELP1	ENST00000368747	LELP1-201	1	1	+	153204708	153204208	153205207	153204207	153205207	500	500	1000
ENSG00000203783	PRR9	ENST00000368744	PRR9-201	1	1	+	153218145	153217645	153218644	153217644	153218644	500	500	1000
ENSG00000203782	LORICRIN	ENST00000368742	LORICRIN-201	1	1	+	153260950	153260450	153261449	153260449	153261449	500	500	1000
ENSG00000176022	B3GALT6	ENST00000379198	B3GALT6-201	1	1	+	1232279	1231779	1232778	1231778	1232778	500	500	1000
ENSG00000229571	PRAMEF25	ENST00000619661	PRAMEF25-202	1	1	+	13073694	13073194	13074193	13073193	13074193	500	500	1000
ENSG00000230667	SETSIP	ENST00000596516	SETSIP-201	1	1	-	92075411	92074912	92075911	92074911	92075911	500	500	1000
ENSG00000289768		ENST00000699402		1	1	-	161631094	161630595	161631594	161630594	161631594	500	500	1000
ENSG00000187080	OR2AK2	ENST00000366480	OR2AK2-201	1	1	+	247965377	247964877	247965876	247964876	247965876	500	500	1000
