gene_id	gene_name	gene_biotype	transcript_id	transcript_name	transcript_biotype	chromosome	start	end	strand	is_ensembl_canonical	tags
ENSG00000260238	PMF1-BGLAP	protein_coding	ENST00000490491	PMF1-BGLAP-203	protein_coding	1	156212982	156243332	+	1	gencode_basic,gencode_primary,Ensembl_canonical
ENSG00000254726	MEX3A	protein_coding	ENST00000532414	MEX3A-202	protein_coding	1	156072013	156082465	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000186160	CYP4Z1	protein_coding	ENST00000334194	CYP4Z1-201	protein_coding	1	47067231	47118318	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000186790	FOXE3	protein_coding	ENST00000335071	FOXE3-201	protein_coding	1	47416285	47418052	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000189030	VHLL	protein_coding	ENST00000339922	VHLL-201	protein_coding	1	156298624	156299307	-	1	gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000162763	LRRC52	protein_coding	ENST00000294818	LRRC52-201	protein_coding	1	165544000	165563957	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000186564	FOXD2	protein_coding	ENST00000334793	FOXD2-201	protein_coding	1	47438044	47440691	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000173080	RXFP4	protein_coding	ENST00000368318	RXFP4-201	protein_coding	1	155941638	155943087	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000121634	GJA8	protein_coding	ENST00000369235	GJA8-201	protein_coding	1	147902795	147909269	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000244020	MT1HL1	protein_coding	ENST00000464121	MT1HL1-201	protein_coding	1	237004103	237004441	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000134249	ADAM30	protein_coding	ENST00000369400	ADAM30-201	protein_coding	1	119893533	119896515	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000173110	HSPA6	protein_coding	ENST00000309758	HSPA6-201	protein_coding	1	161524540	161526894	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000143105	KCNA10	protein_coding	ENST00000369771	KCNA10-201	protein_coding	1	110517217	110519175	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000215915	ATAD3C	protein_coding	ENST00000378785	ATAD3C-201	protein_coding	1	1449689	1470163	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000178828	RNF186	protein_coding	ENST00000375121	RNF186-201	protein_coding	1	19814029	19815283	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000188784	PLA2G2E	protein_coding	ENST00000375116	PLA2G2E-201	protein_coding	1	19920009	19923617	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000177186	OR2M7	protein_coding	ENST00000317965	OR2M7-201	protein_coding	1	248323630	248324568	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000177174	OR14C36	protein_coding	ENST00000317861	OR14C36-201	protein_coding	1	248348775	248349713	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000162456	KNCN	protein_coding	ENST00000481882	KNCN-203	protein_coding	1	46545641	46551647	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000196539	OR2T3	protein_coding	ENST00000359594	OR2T3-201	protein_coding	1	248473351	248474307	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000203661	OR2T5	protein_coding	ENST00000641363	OR2T5-201	protein_coding	1	248488589	248491113	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000183310	OR2T34	protein_coding	ENST00000328782	OR2T34-201	protein_coding	1	248573801	248574757	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000187238	LCE3B	protein_coding	ENST00000335633	LCE3B-201	protein_coding	1	152613811	152614098	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000185962	LCE3A	protein_coding	ENST00000335674	LCE3A-201	protein_coding	1	152622834	152623103	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000159455	LCE2B	protein_coding	ENST00000368780	LCE2B-201	protein_coding	1	152686123	152687397	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000187173	LCE2A	protein_coding	ENST00000368779	LCE2A-201	protein_coding	1	152698345	152699442	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000204501	PRAMEF15	protein_coding	ENST00000376152	PRAMEF15-201	protein_coding	1	13315581	13322598	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000204481	PRAMEF14	protein_coding	ENST00000334600	PRAMEF14-201	protein_coding	1	13341892	13347134	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000204479	PRAMEF17	protein_coding	ENST00000376098	PRAMEF17-201	protein_coding	1	13389632	13392629	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000228594	FNDC10	protein_coding	ENST00000422725	FNDC10-201	protein_coding	1	1598012	1600135	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000186306	OR10T2	protein_coding	ENST00000334438	OR10T2-201	protein_coding	1	158398522	158399466	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000198890	PRMT6	protein_coding	ENST00000370078	PRMT6-201	protein_coding	1	107056674	107059294	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000162526	TSSK3	protein_coding	ENST00000373534	TSSK3-201	protein_coding	1	32362539	32364312	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000288636		protein_coding	ENST00000617114		protein_coding	1	17005068	17011757	-	1	gencode_basic,gencode_primary,Ensembl_canonical
ENSG00000274764	PRAMEF27	protein_coding	ENST00000436041	PRAMEF27-201	protein_coding	1	13049476	13056575	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000275774	HNRNPCL2	protein_coding	ENST00000621994	HNRNPCL2-202	protein_coding	1	13115488	13116854	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000179412	HNRNPCL4	protein_coding	ENST00000323770	HNRNPCL4-201	protein_coding	1	13163914	13165631	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000277058	HNRNPCL3	protein_coding	ENST00000617807	HNRNPCL3-201	protein_coding	1	13060769	13062878	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000073756	PTGS2	protein_coding	ENST00000367468	PTGS2-201	protein_coding	1	186671791	186680423	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000057468	MSH4	protein_coding	ENST00000263187	MSH4-201	protein_coding	1	75796882	75913242	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000237330	RNF223	protein_coding	ENST00000453464	RNF223-201	protein_coding	1	1070967	1074306	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000178395	CCDC185	protein_coding	ENST00000366875	CCDC185-201	protein_coding	1	223393415	223395465	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000162621	LRRC53	protein_coding	ENST00000294635	LRRC53-201	protein_coding	1	74469376	74512611	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000259030	FPGT-TNNI3K	protein_coding	ENST00000557284	FPGT-TNNI3K-206	protein_coding	1	74198235	74543982	+	1	gencode_basic,gencode_primary,Ensembl_canonical
ENSG00000183598	H3C13	protein_coding	ENST00000331491	H3C13-201	protein_coding	1	149813225	149813693	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000184260	H2AC20	protein_coding	ENST00000331380	H2AC20-201	protein_coding	1	149886918	149887411	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000184270	H2AC21	protein_coding	ENST00000331128	H2AC21-201	protein_coding	1	149887469	149887965	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000170128	GPR25	protein_coding	ENST00000304244	GPR25-201	protein_coding	1	200872981	200874178	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000174529	TMEM81	protein_coding	ENST00000367167	TMEM81-201	protein_coding	1	205083129	205084460	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000255835		protein_coding	ENST00000432920		protein_coding	1	225886696	225924278	-	1	gencode_basic,gencode_primary,Ensembl_canonical
ENSG00000187862	TTC24	protein_coding	ENST00000368236	TTC24-201	protein_coding	1	156579723	156587719	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000203663	OR2L2	protein_coding	ENST00000641771	OR2L2-202	protein_coding	1	248030070	248042305	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000198128	OR2L3	protein_coding	ENST00000359959	OR2L3-201	protein_coding	1	248046836	248063407	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000171180	OR2M4	protein_coding	ENST00000641868	OR2M4-201	protein_coding	1	248231417	248244679	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000204505	PRAMEF9	protein_coding	ENST00000415919	PRAMEF9-201	protein_coding	1	13171848	13179459	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000177151	OR2T35	protein_coding	ENST00000641268	OR2T35-201	protein_coding	1	248636356	248645278	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000180708	OR10K2	protein_coding	ENST00000641042	OR10K2-201	protein_coding	1	158418210	158426237	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000179023	KLHDC7A	protein_coding	ENST00000400664	KLHDC7A-201	protein_coding	1	18480930	18485974	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000213171	LINGO4	protein_coding	ENST00000368820	LINGO4-201	protein_coding	1	151800264	151805419	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000196407	THEM5	protein_coding	ENST00000368817	THEM5-201	protein_coding	1	151847101	151853712	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000240386	LCE1F	protein_coding	ENST00000334371	LCE1F-201	protein_coding	1	152775140	152777024	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000172155	LCE1D	protein_coding	ENST00000326233	LCE1D-201	protein_coding	1	152796721	152798181	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000186603	HPDL	protein_coding	ENST00000334815	HPDL-201	protein_coding	1	45326895	45328710	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000197454	OR2L5	protein_coding	ENST00000355281	OR2L5-201	protein_coding	1	248013660	248024276	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000279111	OR10X1	protein_coding	ENST00000623167	OR10X1-201	protein_coding	1	158578919	158579899	-	1	gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000187701	OR2T27	protein_coding	ENST00000460972	OR2T27-201	protein_coding	1	248649838	248655528	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000203757	OR6K3	protein_coding	ENST00000368145	OR6K3-201	protein_coding	1	158716327	158720720	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000196772	OR14A16	protein_coding	ENST00000641093	OR14A16-201	protein_coding	1	247814660	247824119	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000197591	OR11L1	protein_coding	ENST00000355784	OR11L1-201	protein_coding	1	247840928	247841896	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000238243	OR2W3	protein_coding	ENST00000360358	OR2W3-201	protein_coding	1	247895587	247896531	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000177275	OR2AJ1	protein_coding	ENST00000318244	OR2AJ1-201	protein_coding	1	247924889	247935339	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000279263	OR2L8	protein_coding	ENST00000623922	OR2L8-201	protein_coding	1	247948858	247949796	+	1	gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000197532	OR6Y1	protein_coding	ENST00000641622	OR6Y1-202	protein_coding	1	158544550	158554405	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000198104	OR2T6	protein_coding	ENST00000641644	OR2T6-201	protein_coding	1	248375746	248391811	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000162727	OR2M5	protein_coding	ENST00000366476	OR2M5-201	protein_coding	1	248145148	248146086	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000198601	OR2M2	protein_coding	ENST00000641836	OR2M2-202	protein_coding	1	248174821	248181067	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000177462	OR2T8	protein_coding	ENST00000641945	OR2T8-201	protein_coding	1	247920252	247923152	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000169214	OR6F1	protein_coding	ENST00000641470	OR6F1-203	protein_coding	1	247711436	247716646	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000239395		protein_coding	ENST00000419891		protein_coding	1	247711813	247723764	-	1	cds_start_NF,mRNA_start_NF,gencode_basic,gencode_primary,Ensembl_canonical
ENSG00000153230	OR14K1	protein_coding	ENST00000283225	OR14K1-201	protein_coding	1	247738615	247739559	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000177201	OR2T12	protein_coding	ENST00000641276	OR2T12-201	protein_coding	1	248290139	248303424	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000177212	OR2T33	protein_coding	ENST00000641220	OR2T33-202	protein_coding	1	248269917	248277976	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000182783	OR2T29	protein_coding	ENST00000641069	OR2T29-202	protein_coding	1	248556912	248562772	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000186092	OR4F5	protein_coding	ENST00000641515	OR4F5-201	protein_coding	1	65419	71585	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000188558	OR2G6	protein_coding	ENST00000641804	OR2G6-202	protein_coding	1	248508073	248527337	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000197437	OR13G1	protein_coding	ENST00000642119	OR13G1-201	protein_coding	1	247670812	247679739	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000221888	OR1C1	protein_coding	ENST00000641256	OR1C1-202	protein_coding	1	247754846	247760556	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000228198	OR2M3	protein_coding	ENST00000641626	OR2M3-202	protein_coding	1	248197265	248212925	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000184022	OR2T10	protein_coding	ENST00000642090	OR2T10-202	protein_coding	1	248590487	248597700	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000197403	OR6N1	protein_coding	ENST00000641846	OR6N1-202	protein_coding	1	158764236	158772195	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000279301	OR2T11	protein_coding	ENST00000641193	OR2T11-201	protein_coding	1	248623557	248635091	-	1	gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000198967	OR10Z1	protein_coding	ENST00000641002	OR10Z1-201	protein_coding	1	158605268	158612514	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000163554	SPTA1	protein_coding	ENST00000643759	SPTA1-208	protein_coding	1	158610704	158686715	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000162783	IER5	protein_coding	ENST00000367577	IER5-201	protein_coding	1	181088700	181092900	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000196289	BECN2	protein_coding	ENST00000419583	BECN2-201	protein_coding	1	241957767	241959062	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000120337	TNFSF18	protein_coding	ENST00000404377	TNFSF18-201	protein_coding	1	173039202	173050941	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000212916	MAP10	protein_coding	ENST00000418460	MAP10-201	protein_coding	1	232805416	232809929	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000196944	OR2T4	protein_coding	ENST00000366473	OR2T4-201	protein_coding	1	248361665	248362627	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000172410	INSL5	protein_coding	ENST00000304526	INSL5-201	protein_coding	1	66797740	66801276	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000186440	OR6P1	protein_coding	ENST00000641540	OR6P1-201	protein_coding	1	158560606	158570580	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000197241	SLC2A7	protein_coding	ENST00000400906	SLC2A7-201	protein_coding	1	9002973	9026423	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000196171	OR6K2	protein_coding	ENST00000359610	OR6K2-201	protein_coding	1	158699678	158700652	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000187170	LCE4A	protein_coding	ENST00000368777	LCE4A-201	protein_coding	1	152708160	152709434	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000169717	ACTRT2	protein_coding	ENST00000378404	ACTRT2-201	protein_coding	1	3021467	3022903	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000219073	CELA3B	protein_coding	ENST00000337107	CELA3B-201	protein_coding	1	21977022	21989354	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000142789	CELA3A	protein_coding	ENST00000290122	CELA3A-201	protein_coding	1	22001657	22012542	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000197084	LCE1C	protein_coding	ENST00000607093	LCE1C-202	protein_coding	1	152804832	152806651	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000273213	H3-7	protein_coding	ENST00000392948	H3-7-201	protein_coding	1	143905510	143905977	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000186207	LCE5A	protein_coding	ENST00000334269	LCE5A-201	protein_coding	1	152510803	152512177	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000169509	CRCT1	protein_coding	ENST00000368790	CRCT1-201	protein_coding	1	152514482	152516008	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000185966	LCE3E	protein_coding	ENST00000368789	LCE3E-201	protein_coding	1	152565654	152566780	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000163202	LCE3D	protein_coding	ENST00000368787	LCE3D-201	protein_coding	1	152579381	152580516	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000184389	A3GALT2	protein_coding	ENST00000442999	A3GALT2-201	protein_coding	1	33306766	33321098	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000232237	ASCL5	protein_coding	ENST00000449188	ASCL5-201	protein_coding	1	201113943	201127184	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000274386	TMEM269	protein_coding	ENST00000637012	TMEM269-204	protein_coding	1	42784991	42800827	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000196734	LCE1B	protein_coding	ENST00000360090	LCE1B-201	protein_coding	1	152811971	152813108	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000186844	LCE1A	protein_coding	ENST00000335123	LCE1A-201	protein_coding	1	152827473	152828097	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000235942	LCE6A	protein_coding	ENST00000431011	LCE6A-201	protein_coding	1	152842856	152843983	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000184148	SPRR4	protein_coding	ENST00000328051	SPRR4-201	protein_coding	1	152970648	152972574	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000196184	OR10J1	protein_coding	ENST00000423932	OR10J1-201	protein_coding	1	159439722	159440967	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000163354	DCST2	protein_coding	ENST00000368424	DCST2-202	protein_coding	1	155018527	155033781	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000280778		protein_coding	ENST00000625258		protein_coding	1	145927258	145977811	+	1	cds_end_NF,mRNA_end_NF,gencode_basic,gencode_primary,Ensembl_canonical
ENSG00000182898	TCHHL1	protein_coding	ENST00000368806	TCHHL1-201	protein_coding	1	152084141	152089064	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000215853	RPTN	protein_coding	ENST00000316073	RPTN-201	protein_coding	1	152153595	152159228	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000197915	HRNR	protein_coding	ENST00000368801	HRNR-201	protein_coding	1	152212076	152224193	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000175793	SFN	protein_coding	ENST00000339276	SFN-201	protein_coding	1	26863149	26864456	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000188782	CATSPER4	protein_coding	ENST00000456354	CATSPER4-202	protein_coding	1	26190602	26202964	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000168148	H3-4	protein_coding	ENST00000366696	H3-4-201	protein_coding	1	228424845	228425360	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000188340	OR6N2	protein_coding	ENST00000641131	OR6N2-201	protein_coding	1	158774222	158781204	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
